abandonable        quittable
irksomely          troublesomely irritatingly tediously
irksomeness        tediousness
irregularly        inconstantly
irregularness      unstableness
irrelevantly       unfittingly
irritableness      fretfulness peevishness sensitiveness
irritably          fretfully
irritating         annoying provoking exasperating
irritatingly       irksomely vexatiously
islander           reefer
islandy            reefy
isolated           insulated
isolating          insulating separating
issuance           resultance
issuant            resultant
issuing            resulting
itching            craving
iteming            piecing
jacketed           coated sacked
jacketing          coating sacking suiting
jackety            suity
jaggedly           sharply roughly pointedly
jaggedness         sharpness roughness pointedness
jailage            jointage
jaildom            prisondom
jailer             prisoner jointer
jangler            jingler
jangly             jingly
jazzer             ragtimer swinger
jazzy              ragtimey swingy
jealously          covetously
jealousness        covetousness
jeerer             sneerer scoffer taunter giber
jeering            sneering scoffing taunting gibing
jeery              sneery
jerker             twister tweaker puller snaper twitcher
jerky              twisty tweaky snapy twitchy
jester             joker wither gager punner wisecracker
jeweler            stoner gemmer
jeweling           stoning
jewely             stony gemmy
jiggly             fidgety twitchy
jingled            ringed
jingler            clinker tinkler ringer jangler
jingling           clinking tinkling ringing
jingly             tinkly ringy jangly
joinable           uniteable
joiner             uniter
joining            uniting
jointage           linkage
jointed            linked
jointer            linker
jointing           linking
jointy             linky
jolter             hustler shocker puncher
jolting            shocking jarring punching
jolty              jarry punchy
jostler            pusher bumper elbower shoulderer
journalist         recordist periodicalist
journeyer          tripper tourer voyager cruiser
journeying         tripping touring
jovially           genially cordially
jovialness         genialness cordialness gayness
joyfully           gladly jubilantly
joyfulness         gladness
jubilantly         joyfully triumphantly exultantly elatedly
judgeable          guessable
judger             guesser
judiciously        critically discreetly prudently
judiciousness      criticalness discreetness sensibleness
jumbler            disorderer
jumpable           leapable boundable
jumper             hoper leaper bounder springer vaulter
jumpness           boundness
jumpy              hoppy springy vaulty
jungled            bushed
jungly             bushy
junker             waster refuser wrecker
junking            rubbishing wasting refusing wrecking
justifying         excusing clearing
justly             fairly rightly impartially legitimately
justness           fairness rightness impartialness
juvenilely         adolescently youngly only
juvenileness       youngness oneness
keelage            overage fallage
keeled             turned logged
keeler             turner faller downer dropper liker logger
keeling            turning falling dropping liking logging
keener             sharper
keenly             shrewdly smartly sharply acutely
keenness           shrewdness smartness sharpness acuteness
keepable           retainable holdable haveable possessable receivable
keeper             retainer holder haver receiver
keeping            retaining holding possessing
kerneled           grained nutted cored hearted
kernelly           heartly
kettler            poter
kickable           stampable
kicker             punter spurner stamper
kicking            stamping
kidnaper           offer stealer
killer             murderer slaughterer
killing            murdering
killingly          mortally lethally fatally
killingness        mortalness fatalness
kindler            igniter starter setter stirrer
kindling           starting setting stirring
kindly             starty
kisser             smacker caresser
kissing            smacking caressing
knifer             blader edger pointer steeler
knightly           cavalierly
knitted            weaved interlaced contracted
knitter            weaver contracter
knitting           weaving
knobbed            handled humped
knobber            handler latcher bumper
knobby             humpy bumpy
knocker            pounder striker hitter raper taper bumper
knocking           pounding striking raping tapping bumping
knotted            clustered grouped
knotter            snarler tangler grouper
knotting           tangling clustering grouping
knotty             snarly tangly clustery
knowable           recognizable
knower             experiencer understander recognizer
knowing            understanding
labeler            tagger tabber marker slipper recorder
labeller           tagger tabber marker slipper recorder
laborable          workable
laborage           taskage
labored            worked toiled
laborer            worker toiler tasker
laboring           working toiling
laced              corded braided
lacer              corder braider ornamenter
lacerated          distressed
lacing             cording braiding
lacker             wanter needer
lacy               cordy
ladler             scooper spooner dipper
ladyly             gentlewomanly
lairy              deny cavy abody
laker              locker ponder pooler
laking             locking
laky               locky pondy pooly
lamely             weakly ineffectually
lameness           weakness
lamentable         weepable
lamenter           groaner mourner sober wailer weeper whimperer
lamenting          groaning mourning sobbing weeping whimpering
lamper             lighter
lamping            lighting headlighting
lampist            lanternist
lampooner          spoofer
lampoonist         satirist
lanced             piked shafted
lancer             darter spearer piker shafter
landed             earthed grounded
lander             grounder
landing            grounding
laney              pathy
languaged          tongued
languidly          weakly listlessly
languidness        weakness feebleness listlessness
lanternist         lampist
largely            hugely colossally enormously immensely
largeness          bigness hugeness enormousness immenseness
larker             romper caperer pranker
larking            romping capering pranking
larky              rompy pranky
lasher             beater whipper flogger scourger
laster             endurer persister continuer abider
lasting            enduring persisting abiding
lastly             finally
lasty              finally
latcher            catcher clasper locker
latching           catching clasping locking
lately             newly recently formerly
lateness           newness recentness formerness
later              recenter
latherer           foamer frother
lathery            foamy frothy sudsy spumy
latterly           lastly
latterness         lastness pastness
latticed           meshed trellised screened webbed
latticing          screening webbing
laudable           praisable
lauder             praiser extoller eulogizer
laughableness      ludicrousness
laugher            giggler chuckler
laughing           snickering giggling
laughy             giggly
launcher           floater starter getter caster thrower
lavishly           prodigally profusely bountifully liberally
lavishness         profuseness bountifulness liberalness
lawfully           legally legitimately validly
lawfulness         legalness validness
lawned             greenswarded
lawner             greener
lawny              greeny
laxatively         purgatively
layered            zoned staged
layery             stagy
leadable           directable precedable openable
leaded             directed
leader             directer preceder opener starter
leading            preceding opening starting
leadingly          firstly foremostly
leady              starty
leafage            frondage sheetage flakage
leafdom            pagedom
leafed             fronded bladed sheeted
leafer             blader sheeter flaker pager
leafy              blady sheety flaky
leaguer            bander coalitioner covenanter
leakage            seepage escapage wastage
leaker             escaper waster
leaky              seepy oozy wasty
leaner             incliner depender tender
leaning            slanting depending tending
leanly             slantly
leapable           jumpable boundable
leaper             jumper hoper springer bounder vaulter
leaping            springing bounding vaulting
leasable           contractable rentable lettable demisable
leaser             leaseholder contracter renter letter
leasing            leaseholding
leaved             abandoned quitted
leaver             abandoner surrenderer quitter forsaker
lecturer           addresser discourser expounder reprover
ledged             rimmed
ledger             rimer bencher
ledging            benching
ledgy              shelfy rimy benchy
leery              smirky
legalist           legitimatist
legally            lawfully legitimately validly
legalness          lawfulness validness
legendist          traditionist mythist
legibleness        readableness clearness plainness
legibly            readably decipherably
legitimately       lawfully legally properly validly
legitimatist       legalist
leisurable         spareable timeable
leisured           timed
leisurely          sparely timely
leisureness        spareness idleness
lendable           advanceable loanable leasable
lender             advancer loaner leaser
lengthener         extender protracter stretcher
lengther           spanner stretcher
lengthy            stretchy
lessener           reducer diminisher abater
lesser             noter underer
lessness           muchness underness
lethally           fatally mortally hurtfully
lettered           noted
letterer           noter writinger
leveler            flatter evener
leveling           flatting evening
levelly            horizontally flatly evenly
levelness          flatness evenness
lewdly             obscenely indecently unchastely
lewdness           obsceneness indecentness unchasteness
liberally          lavishly unselfishly tolerantly receptively
liberalness        lavishness unselfishness receptiveness
liberator          releasor
licensable         charterable permittable authorizable
licensed           chartered permitted authorized
licenser           charterer ticketer permitter authorizer
licker             tonguer darter beater thrasher
licking            tonguing darting beating thrashing
liftable           raisable upliftable
lifter             raiser exalter uplifter
lifting            raising elevating uplifting
lightener          abater bleacher uplifter
lightening         bleaching uplifting
lighter            streamer
lighting           streaming
lightness          nimbleness
likely             similarly resemblingly
limbed             branched armed legged membered parted
limber             brancher armer leger parter
limberly           supplely spryly deftly
limberness         flexibleness suppleness nimbleness spryness deftness
limby              branchy army leggy party
limited            edged
limitedly          definitely finitely scantly qualifiedly
limitedness        definiteness finiteness scantness qualifiedness
limiter            edger verger
limiting           edging
limitlessly        endlessly unboundedly
limitlessness      endlessness unboundedness
limper             slacker
limping            slacking
limply             laxly slackly pliantly softly
limpness           laxness slackness pliantness softness
limpy              softy
linable            rowable
linage             cordage
lineage            cordage
linearly           straightly lineally
lined              rowed corded stringed
liner              rower filer corder stringer creaser
lingerer           delayer loiterer dawdler waiter
linguister         polyglotter
lining             rowing filing cording stringing creasing
linkable           joinable uniteable
linkage            bondage unitage
linked             tied bonded united coupled
linker             tier bonder joiner uniter coupler
linking            bonding joining uniting coupling
linky              unity
linter             fluffer
linty              fluffy fuzzy
liny               rowy cordy stringy creasy
liquidable         smoothable
liquidly           fluidly smoothly flowingly
liquidness         fluidness smoothness flowingness
liquorer           brother
liquorist          fluidist
listable           recordable
listener           attender hearer heeder
listening          hearing
lister             recorder
listing            recording
literally          exactly
literalness        exactness
litigator          prosecutor
litterer           disorderer
littleness         fewness smallness weeness
littling           smalling
lively             bely
liveness           aliveness
liver              exister beer abider
lividly            pallidly colorlessly
lividness          pallidness colorlessness
living             being abiding
livingly           quickly lively
livingness         quickness aliveness liveness
loader             burdener charger
loading            charging
loanable           lendable borrowable advanceable creditable
loaner             lender borrower advancer
lobbyer            soliciter promoter
localist           nativist
locally            restrictedly narrowly natively
localness          narrowness nativeness
lockable           securable makable
locker             fastener securer maker faster
locking            fastening making fasting
lodgeable          settleable
lodged             dwelled settled
lodger             dweller settler filer
lodging            dwelling settling filing
logicalist         rationalist
logically          rationally sanely
logicalness        rationalness saneness
loller             lounger lier downer sprawler
lolly              loungy downy sprawly
lonely             desolately
loneness           singleness desolateness
longer             acher coveter craver hankerer
longing            aching coveting craving hankering
longingly          wantingly
longingness        wantingness
looker             beholder perceiver discerner
looking            beholding perceiving discerning
loomer             menacer overshadower
looming            menacing towering overshadowing
looper             ringer circler nooser eyeletter
looping            ringing circling
loopy              ringy ambitty
loosely            freely detachedly flowingly
loosener           relaxer unfastener freer
looseness          freeness detachedness flowingness
looser             freer
loosing            freeing
lootable           spoilable plunderable
looter             spoiler plunderer
loudly             vociferously vehemently
lounger            relaxer loller sloucher reposer
lounging           slouching
loungy             lolly slouchy
lousy              verminy buggy
louter             clodder
louty              cloddy
lovable            desirable
lover              desirer
loverdom           sweetheartdom
lovered            sweethearted
lovering           sweethearting
lowerable          reduceable
lowerer            debaser humbler reducer
lowering           reducing depressing
lowery             humbly
loyally            faithfully truly devotedly obediently
loyalness          faithfulness trueness devotedness
lucidly            clearly sanely rationally
lucidness          clearness saneness rationalness
lucky              chancy goody
lucratively        gainfully productively
lucrativeness      gainfulness
luller             calmer reposer
lumberer           timberer
lumbering          wooding timbering
lumberly           woodly
lumpy              protuberancy chunky
luncher            collationer mealer
lurcher            swayer pitcher staggerer stumbler
lurer              enticer decoyer tempter coaxer
lurker             skulker slinker sneaker
lurky              slinky sneaky
lusher             tenderer
lushly             lusciously tenderly luxuriously
lushness           lusciousness tenderness luxuriousness
luster             desirer
lusterer           glazer glosser polisher
luxuriously        lushly sumptuously voluptuously
luxuriousness      lushness sumptuousness
magazinist         periodicalist
magaziny           periodically
magnificently      grandly splendidly superbly
maidenly           virginly firstly
maidy              girly missy
mailable           postable
mailed             posted
mailer             poster
mainly             largely mostly
maintainable       continuable sustainable
maintainer         continuer insister sustainer
majesticness       nobleness imposingness grandness
makable            creatable produceable preparable obtainable causable
maker              producer preparer obtainer causer
making             causing
maleness           manness
malevolency        evilly
malignant          libelant
malignantly        malignly viciously criminally harmfully
maligner           libeler slanderer defamer asperser
malist             manist
manageable         controllable affordable
manager            controller
managerdom         bossdom
managery           bossy directory heady
maneuverer         artificer
mangler            breaker crusher disfigurer
mangling           breaking crushing
manifestable       showable displayable
manifested         displayed
manifester         bringer forwarder shower displayer
manifestly         forwardly
manifestness       forwardness
manifoldly         diversely repeatedly
manifoldness       diverseness
manipulatable      operatable controllable manageable influenceable
manipulator        operator
mannerable         sortable habitable
mannered           sorted habited
mannering          styling
mannerist          stylist
mannerly           kindly sortly
mantled            cloaked caped
mantling           cloaking robing
manurer            dunger
manyness           numerousness manifoldness
marathoner         longer
marbleness         hardness vitreousness lifelessness
marbler            harder
marbly             hardy
marcher            tramper pacer filer advancer parader
margined           bordered rimmed lipped edged
margining          bordering lipping edging
marker             imprinter stainer labeler badger
marking            staining
marshy             bogy swampy quagmiry
martially          warlikely
martialness        warlikeness
masked             faced
masker             falser facer masquerader
massacrer          slaughterer masser murderer
masser             bulker sizer lumper wader
massy              bulky sizy lumpy waddy
masted             timbered columned
master             poler timberer columner
masterly           superiorly expertly
mastery            directory
masting            timbering uprighting columning
masty              poley timbery
matchable          equalable contestable
matcher            contester
matching           equaling
matchy             equally peery
mately             comradely
mater              chummer
materialist        corporealist
materially         corporeally
materialness       corporealness
matey              chummy
maturely           ripely
matureness         ripeness developedness adultness
maturer            riper adulter
maty               chummy
maunderer          wanderer
meadowed           landed
meadower           meader pasturer lander
meadowing          landing
meagerly           sparely sparsely poorly leanly
meagerness         spareness poorness leanness
mealable           consumable devourable
mealer             consumer devourer
meaner             averager
meanly             averagely normally
meanness           ignobleness normalness
measurable         gaugeable
measurer           gauger
measuring          gauging
meated             cored
meaty              essency pithy
medalist           medallionist decorationist
meddler            tamperer interferer intruder
meddling           interfering intruding
mediating          interposing
mediator           propitiator
medievalist        feudalist
medievally         feudally
meditating         pondering reflecting
meditatist         speculatist contemplatist
meditator          reflector speculator contemplator
meekly             subduedly patiently submissively
meekness           subduedness humbleness patientness
meetable           encounterable assemblable
meeter             encounterer assembler
meetinger          encounterer contender
mellowly           softly richly ripely subduedly delicately
mellowness         softness richness ripeness subduedness delicateness
mellowy            softy
meltable           dissolvable
melted             fused
melter             dissolver softener thawer vanisher
melting            dissolving softening vanishing
membered           united parted
memorably          unforgettably
menaceable         hazardable
menacer            hazarder
mendable           repairable restorable correctable improvable
mender             repairer restorer improver
mending            correcting improving
menially           servilely
mentalist          rationalist
mentally           cognitively rationally
mentionable        lettable citable speakable
mercilessly        relentlessly ruthlessly pitilessly
mercilessness      ruthlessness pitilessness
mergence           coalescence
merger             uniter blender absorber
meritable          rewardable
merited            virtued
meriter            rewarder duer
meshed             webbed latticed
meshy              webby tangly
messer             disorderer
methodist          mannerist modist
meticulously       minutely particularly fastidiously precisely
mettled            spirited temperamented
middler            meaner centerer
middling           meaning centering
midgety            dwarfy shrimpy
mighty             strengthy
mildly             blandly softly harmlessly
mildness           gentleness blandness softness harmlessness
milker             extorter
millable           plantable
millage            plantage
miller             planter
milling            planting
mimer              pretender
mincer             chopper dicer
mincing            chopping dicing
minded             intellected
miner              veiner burrower
mingleable         mixable
mingler            blender mixer merger
minimizer          reducer lessener belittler
mining             veining
minor              depositor excavator
mintage            coinage moneyage
minter             coiner moneyer piecer
minty              coiny
minutely           precisely exactly meticulously
minuteness         preciseness exactness
minuter            exacter
miny               veiny
miragy             optically
miserableness      wretchedness forlornness dolefulness meanness
miserably          dolefully
misfortuner        troubler
misleadable        deceivable deludable leadable
misleader          deceiver deluder leader
misleading         deceiving deluding leading
missable           omittable skippable avoidable
misshapenly        deformedly distortedly
misshapenness      deformedness distortedness
missing            failing skipping
missingly          absently
missioner          tasker
missy              skippy
mistakable         errable
mistaking          erring
misted             fogged vapored
mister             fogger hazer vaporer
mistruster         suspecter doubter
mistrusting        doubting
misty              fogy hazy vapory drizzly filmy
misuser            abuser
mitigator          moderator
moaning            groaning bewailing
mocker             ridiculer tantalizer jeerer atter
modeler            patterner
modeling           patterning
modelist           copyist
modeller           patterner
moderately         sparingly frugally tolerantly
moderateness       sparingness frugalness
moderatist         frugalist
moderner           later recenter
modernly           lately recently
modernness         lateness recentness
modestly           bashfully downcastly meekly
modestness         bashfulness downcastness humbleness meekness
modesty            bashfully humbly
modist             statist mannerist methodist fashionist
moistly            damply humidly wetly
moistness          dampness humidness wetness
moisty             dampy
moldable           formable shapable figurable stampable castable
molder             former shaper figurer stamper caster modeler
molding            forming shaping stamping casting modeling
moldy              formy shapy figury
molester           disturber annoyer vexer pesterer harasser
mollifying         soothing appeasing
molter             sheder caster offer
momently           instantly
moneyed            capitaled
monitory           mastery
monkly             friarly brotherly
monologuist        recitationist
monotonously       wearisomely tediously unvariedly
mooder             temperer
moody              tempery
mooned             satellited
moper              brooder fretter sulker pouter
moping             brooding fretting pouting
morally            ethically righteously justly virtuously
moralness          ethicalness righteousness justness virtuousness
morbidly           diseasedly
morbidness         diseasedness
moreness           inness
mortalist          humanist fatalist
mortally           humanly ephemerally fatally
mortalness         humanness ephemeralness fatalness
mortgageable       pledgeable loanable borrowable
mortgagor          pledgeor
mortifying         humiliating embarrassing
mostness           allness
motherdom          parentdom
motherly           matronly
motionlessly       quiescently inertly
motorable          centerable
motored            centered powered
motoring           centering offing
moundy             heapy hillocky knolly hilly
mountable          ascendable soarable climbable
mountained         peaked mounted
mountainy          hilly peaky
mountant           ascendant
mounter            ascender riser soarer goer upper climber
mounting           ascending rising soaring going upping climbing
mourner            lamenter sorrower griever bewailer bemoaner
mourning           lamenting sorrowing grieving bewailing bemoaning
mouther            muzzler
mouthing           entrancing
movable            transportable incitable
movableness        portableness
movably            portably changeably
movant             incitant
mover              transporter impeller inciter
moving             transporting
muchness           ampleness
mucker             slimer
mucky              dirty filthy slimy muddy
muddler            messer disorderer
muffler            deadener stifler dampener swather
multiplying        increasing spreading
mundanely          temporally
mundaneness        temporalness
muraled            walled
muralist           frescoist mosaicist
murally            wally
murkly             duskly darkly
murkness           duskness darkness
murky              gloomy hazy dusky darky
murmurer           hummer whisperer
murmuring          humming whispering
muscled            sinewed brawned powered
muscly             sinewy brawny strengthy
muster             shoulder betterer
musterable         assemblable collectable gatherable mobilizable
musterer           assembler gatherer
mutable            reduceable
mutationist        variationist deviationist
mutterer           griper growler
muttering          griping growling
mutualist          jointist
mutually           reciprocally commonly jointly
mutualness         commonness
muzzler            mouther noser silencer
mysteriously       occultly strangely unnaturally
mysticly           hiddenly secretly
mythist            legendist traditionist fictionist
nailer             clawer spiker tacker
nailing            spiking tacking
naily              spiky tacky
nakedly            uncoveredly barely
nakedness          bareness
namable            reputable
nameable           reputable
narratable         recountable relatable tellable
narrater           recounter relater teller
narrator           relator
narrower           taperer thinner
narrowly           locally straitly taperly thinly
narrowness         localness straitness taperness thinness
narrowy            locally
natively           innately inherently naturally
nativeness         innateness naturalness
nativist           naturalist
naturalist         characterist nativist
naturally          innately natively unaffectedly
naturalness        innateness nativeness
naturist           characterist
neatly             compactly trimly
neatness           compactness trimness
necked             channeled headed
necker             channeler passer header
necking            channeling passing heading
nectared           honeyed
nectary            dewy
needer             desirer lacker
nefariously        evilly basely wickedly
nefariousness      evilness baseness wickedness
negator            retractor counteractor
negotiator         bargainor
nerver             courager
nervy              strengthy
nestler            lodger lier
nestling           lodging
nettler            troubler annoyer provoker vexer
nettling           troubling irritating annoying provoking
nettly             troubly
neutralist         impartialist
neutralizer        canceler
neutrally          indifferently unconcernedly impartially
neutralness        impartialness
newsy              intelligency
nibbler            browser gnawer pecker picker atter
nicely             pleasingly attractively
niceness           pleasingness agreeableness
nicher             cornerer recesser
nightly            midnightly
nimbleness         agileness lightness spryness quickness
nobleness          grandness
nobodyness         upstartness
noisomely          destructively harmfully banefully evilly
noisomeness        harmfulness banefulness evilness
noisy              rackety
nominally          titularly inly namely
nominately         namely
nominator          appointor
nonly              only nothingly
nooked             cornered covered
nooking            retreating covering
nooser             hitcher catcher looper
normally           regularly averagely usually
normalness         regularness usualness
nosed              snouted
noser              snouter muzzler
nosey              snouty nasally
nosy               snouty nasally
notched            scored
notcher            nicker scorer groover
notching           nicking scoring grooving
notchy             nicky gashy groovy
noted              lettered
noter              letterer
nothingly          blankly
nothingness        blankness
noticeably         perceptibly observably
notionable         opinionable
notioned           ideaed thoughted opinioned
notionist          opinionist
nourishable        nurturable sustainable feedable fosterable
nourisher          nurturer sustainer feeder fosterer
nourishing         sustaining feeding fostering
noveldom           bookdom
novelist           romancist epicist
novelly            epicly
nozzler            spouter venter
nudger             pusher poker prodder
nuggety            lumpy humpy sluggy
nuisancer          botherer plaguer troubler
numberable         computable
numberer           computer
numbly             unfeelingly frozenly dazedly
numbness           unfeelingness frozenness dazedness
numerously         myriadly plentifully variously
numerousness       manyness plentifulness variousness
nurturable         sustainable supportable feedable fosterable cherishable
nurturer           sustainer supporter feeder fosterer cherisher
oathed             cursed
obediency          compliancy
obesely            fatly stoutly plumply
obeseness          fatness stoutness plumpness
objectively        unemotionally unbiasedly
objectiveness      unbiasedness
obligable          compellable forceable constrainable
obliged            forced constrained
obliger            compeller forcer constrainer binder
obliging           compelling forcing constraining binding
obliviously        deafly preoccupiedly heedlessly
obliviousness      deafness unawareness heedlessness
oblongly           rectangularly elliptically
obnoxiously        repulsively loathsomely hatefully
obnoxiousness      repulsiveness loathsomeness hatefulness
obscenely          foully lewdly indecently coarsely
obsceneness        foulness lewdness indecentness coarseness
obscurely          indistinctly indefinitely dimly
obscureness        dimness
obscurer           dimer
observable         seeable respectable
observance         seance
observancy         compliancy
observant          respectant
observantly        heedfully regardfully
observantness      heedfulness regardfulness
observer           seer wither respecter acknowledger
observing          seeing respecting
obsoleteness       pastness
obstructant        retardant
obstructer         blocker stoper impeder choker retarder
obtainable         acquirable settable
obtainance         prevailance
obtainer           acquirer setter prevailer
obtusely           stupidly bluntly
obtuseness         stupidness dullness bluntness
obviously          manifestly patently clearly evidently
obviousness        manifestness clearness evidentness
occasioner         roomer
occultly           mysticly mysteriously secretly hiddenly
occultness         secretness hiddenness
ocularist          opticist visualist
ocularly           visually
oculary            visually perceptibly
odored             smelled scented
offendable         breakable errable provokable
offendant          errant
offended           displeased
offender           breaker theer displeaser provoker
offensively        unpleasantly vulgarly obnoxiously horridly
offensiveness      vulgarness obnoxiousness horridness
offerable          tenderable biddable advanceable
offerer            tenderer bider advancer
offering           biding advancing
officer            roomer
officiator         supervisor director
omittable          neglectable skippable spareable
omitter            neglecter skipper sparer overlooker
onerously          difficultly troublesomely burdensomely
onerousness        difficultness
onsetter           attacker
onwardly           forwardly
onwardness         forwardness
oozy               seepy leaky drippy
openable           uncoverable unlockable
opener             unlocker
opening            unlocking
openly             undisguisedly
operatable         manageable directable runnable workable
operating          going running working
operationist       methodist
operatively        effectively workingly
operativeness      effectiveness
operator           conductor director
opinioned          ideaed
opportunely        fortuitously
opposable          contrastable combatable resistable
opposer            confronter combater resister
opposing           resisting
oppressed          crushed afflicted
oppressively       difficultly
oppressor          persecutor
oraler             vocaller
oralist            verbalist vocalist
orally             verbally vocally
orationer          speecher discourser addresser
orcharding         fruiting gardening
orchardist         fruitist
ordainable         appointable investable decreeable
ordainer           installer appointer decreer
ordered            systemed
orderer            routineer
orderly            routinely
originable         causable
originalist        novelist
originally         novelly uniquely
originalness       novelness uniqueness
originator         startor inventor initiator
ornamenter         embosser friller lacer vignetter
ornamentist        vignettist
oscillating        rocking swinging vibrating wavering
oscillator         vibrator
ostracizable       expellable
ostracizer         blackballer exiler expeller
otherist           separatist
otherness          differentness separateness distinctness formerness
ouster             deposer remover
outcastness        derelictness
outcomer           issuer ender
outcoming          issuing ending resulting
outdoer            exceeder surpasser
outerly            outwardly externally
outerness          outsideness outwardness
outfitter          costumer equipper
outlined           edged
outliner           profiler edger
outliver           surviver endurer
outlooker          forecaster
outputter          producer yielder harvester
outrunner          overtaker
outsideness        exteriorness outerness
outspokenly        frankly candidly unreservedly bluntly
outspokenness      frankness candidness bluntness
outstandingly      prominently exceptionally
outwardly          exteriorly outerly outly
outwardness        exteriorness outerness outness visibleness
outwitter          frustrater circumventer
ovally             elliptically ovately
overalled          blanketed
overcomable        conquerable subduable
overcomer          subduer defeater
overflowable       floodable runnable overable
overflower         flooder runer
overflowing        flooding running
overhauler         examiner checker repairer
overheady          capitally
overlooker         commander overseer directer ignorer skipper
overruler          reverser setter rescinder
overruling         reversing setting
overseed           directed
overseer           manager superintender directer commander
overtakable        catchable reachable catchable
overtaker          catcher outrunner reacher catcher upper wither
overthrowable      overcomable upsettable
overthrower        overcomer defeater upsetter abolisher
overturnable       upsettable reversable overthrowable
overturner         inverter upsetter reverser overthrower
pacable            ratable
paced              rated stepped
pacer              rater speeder stepper strider
packable           stowable
package            stowage loadage
packer             stower baler loader burdener bundler
packly             bally
paddled            oared rowed
paddler            rower spanker swimmer poler
paddling           rowing spanking swimming
pagedom            leafdom servantdom
pager              leafer
pained             hurted
paining            hurting discomforting
painstakingly      particularly thoroughly scrupulously
paired             coupled
pairer             coupler
paled              waned
palely             wanly colorlessly lightly
paleness           wanness colorlessness lightness
paler              wanner lighter
paling             waning lighting
palled             jaded
pally              wanly colorlessly lightly
palmed             concealed hided covered
palmer             concealer hider coverer deceiver
palpableness       evidentness plainness clearness manifestness
paly               wany
pampered           spoiled petted
pamperer           indulger spoiler peter coddler
paneler            boarder offer
paneling           boarding offing
panelling          boarding offing
panter             gasper puffer blower
panting            gasping puffing blowing yearning
pantomimist        filmist
panty              gaspy puffy blowy
parable            peelable cuttable shaveable sliceable reduceable
parader            shower displayer marcher
parading           showing
parage             cuttage
paragrapher        phraser
paragraphist       sectionist
paramountly        chiefly firstly supremely
paramountness      firstness supremeness
paraphrasable      alterable
paraphraser        alterer
parcher            upper scorcher
parching           drying upping scorching
pardonable         forgivable excusable releasable
pardoner           forgiver excuser releaser overlooker
pardoning          forgiving excusing
parer              peeler trimer cutter shaver slicer reducer
paring             peeling trimming cutting shaving slicing reducing
parker             leaver placer gardener
parking            leaving gardening
parky              leavy gardeny
parly              trimly
parolable          pledgeable promisable releasable
parted             sectored segmented regioned
partially          dimly partly incompletely
partialness        dimness
particled          specked bitted
particularly       demandingly painstakingly meticulously
partitioned        screened walled
partitioner        screener waller apportioner
partitioning       screening walling
partyist           factionist clubbist
passable           enactable trackable
passage            trackage
passageable        roadable
passer             tracker
passing            waying
passingly          fleetingly
passingness        fleetingness
passionately       amorously intensely vehemently
passively          inactively inertly quietly
passiveness        inactiveness inertness quietness
passivist          quietist
pasteurizer        sterilizer disinfecter
pastness           formerness
pasturer           fielder meadower ranger
patchable          pieceable spottable repairable
patcher            piecer spotter repairer
patchy             spotty
patentable         clearable
patently           obviously plainly clearly evidently
pathed             roaded coursed
patheticly         piteously saddeningly
patheticness       piteousness pitiableness
pathy              traily laney
patiency           tolerancy
patiently          invalidly
patientness        invalidness
patroller          guarder
patronage          clientage
patronizable       supportable endorsable aidable
patronizer         supporter endorser aider
patronizing        supporting
patternable        formable moldable
patterned          formed
patterner          former molder
patterning         forming molding
patterny           formy originally moldy
paunched           fated
paunchy            stomachy fatty
pauser             rester
pavage             coverage floorage
paver              coater coverer floorer surfacer
paving             coating covering flooring surfacing
pavy               surfacy
pawnable           pledgeable
pawner             pledger hocker
pawnor             pledgeor
peacefully         quietly
peacefulness       quietness stillness
peaked             topped apexed crested
peaker             toper
peaking            topping cresting
peaky              summity toppy
pecked             picked
pecker             nipper biter picker sniper taper raper
pecky              nippy picky snipy
peculiarly         individually strangely oddly unusually
peculiarness       strangeness oddness unusualness
peddler            seller hawker retailer
peddling           selling hawking
peelable           parable
peeled             rinded husked shelled
peeler             parer husker barker sheller
peeling            paring husking barking shelling
pelleted           pilled pebbled
pellety            pebbly
pelter             hider skinner
pelting            furring skinning
penalizable        fineable scoldable
penetrating        boring piercing entering cutting
perceivable        observable noticeable
perceivance        observance
perceiver          apprehender discerner observer noticer
perceiving         discerning observing
percentaged        feed
perceptibly        appreciably discernibly visibly
perceptively       observantly
percolator         permeator
perfecter          riper
perfectioner       modeler perfecter
perfectionist      idealist modelist perfectist
perfectist         absolutist
perfectly          absolutely intactly ripely
perfectness        absoluteness intactness ripeness
perforated         pierced punctured
performable        enactable playable executable achievable
performant         executant
performer          player executer fulfiller achiever
perfumed           scented
perfumer           scenter
perfumy            fragrancy
perishable         expirable
perishing          expiring
perking            cheering upping brightening animating
perky              cheery
permeator          saturator
permissioned       leaved
permittable        allowable lettable licensable grantable
permitted          licensed
permitter          allower letter licenser granter
perpetrator        committor door
perpetually        everlastingly unceasingly
perpetualness      unceasingness
perplexable        confusable
perplexed          puzzled bewildered confused
perplexer          puzzler
perplexing         puzzling bewildering
persecuting        besetting
persecutor         oppressor maltreator
persevering        persisting plodding
persister          continuer remainer endurer
persisting         persevering enduring
personalist        individualist
personally         privately individually intimately
personalness       privateness intimateness ownness
perspectived       angled positioned
perspectively      viewly
perspirable        exhalable
perspirant         exhalant
perspiry           sweaty
persuaded          convinced
persuader          coaxer convincer prevailer wheedler
persuasively       cogently convincingly logically
